Index de la requête;Temps de chargement (ms);Temps de résolution Choco (ms);Temps total (ms)
0;5545;4636;10181
1;4163;1042;5205
2;4077;1971;6048
3;5701;21768;27469
4;3771;106;3877
5;3752;6816;10568
6;4918;19211;24129
7;3768;5222;8990
8;3486;1592;5078
9;3903;4263;8166
