Index de la requête;Temps de chargement (ms);Temps de résolution Choco (ms);Temps total (ms)
0;5073;916;5989
1;4332;5488;9820
2;5394;11381;16775
3;4563;11941;16504
4;4541;2005;6546
5;4294;2869;7163
6;3923;77;4000
7;4394;7144;11538
8;4121;5048;9169
9;6046;7544;13590
