Index de la requête;Temps de chargement (ms);Temps de résolution Choco (ms);Temps total (ms)
0;5979;3;5982
1;5876;15370;21246
2;5289;1140;6429
3;5807;37;5844
4;5533;483;6016
5;5778;12794;18572
6;6130;1694;7824
7;4753;4337;9090
8;7088;11351;18439
9;6947;20909;27856
