Index de la requête;Temps de chargement (ms);Temps de résolution Choco (ms);Temps total (ms)
0;10190;21917;32107
1;9843;25700;35543
2;9172;8867;18039
3;8564;14;8578
4;8121;15716;23837
5;9605;20215;29820
6;11692;45604;57296
7;10772;38233;49005
8;11734;7978;19712
9;7740;2808;10548
