Index de la requête;Temps de chargement (ms);Temps de résolution Choco (ms);Temps total (ms)
0;19711;37043;56754
1;15724;40890;56614
2;18750;52803;71553
3;21115;38471;59586
4;24130;36469;60599
5;22501;9436;31937
6;17114;32273;49387
7;24816;75942;100758
8;23697;37119;60816
9;13151;2888;16039
